movie_id,title,ranking,release_year,length,rating,vote_count,certificate,description
tt0111161,The Shawshank Redemption,1,1994,2:22:00,9.3,2971700,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
tt0068646,The Godfather,2,1972,2:55:00,9.2,2072786,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
tt0468569,The Dark Knight,3,2008,2:32:00,9,2952903,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
tt0071562,The Godfather Part II,4,1974,3:22:00,9,1399206,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
tt0050083,12 Angry Men,5,1957,1:36:00,9,896734,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
tt0167260,The Lord of the Rings: The Return of the King,6,2003,3:21:00,9,2034004,PG-13,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
tt0108052,Schindler's List,7,1993,3:15:00,9,1489964,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
tt0110912,Pulp Fiction,8,1994,2:34:00,8.9,2281376,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
tt0120737,The Lord of the Rings: The Fellowship of the Ring,9,2001,2:58:00,8.9,2063671,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
tt0060196,"The Good, the Bad and the Ugly",10,1966,2:58:00,8.8,833067,R,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
tt0109830,Forrest Gump,11,1994,2:22:00,8.8,2325385,PG-13,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
tt0167261,The Lord of the Rings: The Two Towers,12,2002,2:59:00,8.8,1834129,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
tt0137523,Fight Club,13,1999,2:19:00,8.8,2402039,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
tt1375666,Inception,14,2010,2:28:00,8.8,2620485,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
tt0080684,Star Wars: Episode V - The Empire Strikes Back,15,1980,2:04:00,8.7,1413114,PG,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
tt0133093,The Matrix,16,1999,2:16:00,8.7,2109181,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
tt0099685,Goodfellas,17,1990,2:25:00,8.7,1294206,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
tt0073486,One Flew Over the Cuckoo's Nest,18,1975,2:13:00,8.7,1096269,R,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
tt0816692,Interstellar,19,2014,2:49:00,8.7,2212751,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
tt0114369,Se7en,20,1995,2:07:00,8.6,1857649,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
tt0038650,It's a Wonderful Life,21,1946,2:10:00,8.6,511349,PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
tt0047478,Seven Samurai,22,1954,3:27:00,8.6,376370,Not Rated,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
tt0102926,The Silence of the Lambs,23,1991,1:58:00,8.6,1596095,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
tt0120815,Saving Private Ryan,24,1998,2:49:00,8.6,1536525,R,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
tt0317248,City of God,25,2002,2:10:00,8.6,821014,R,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
tt0120689,The Green Mile,26,1999,3:09:00,8.6,1449577,R,"Paul Edgecomb, the head guard of a prison, meets an inmate, John Coffey, a black man who is accused of murdering two girls. His life changes drastically when he discovers that John has a special gift."
tt0118799,Life Is Beautiful,27,1997,1:56:00,8.6,761602,PG-13,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
tt0103064,Terminator 2: Judgment Day,28,1991,2:17:00,8.6,1206536,R,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
tt0076759,Star Wars: Episode IV - A New Hope,29,1977,2:01:00,8.6,1482146,PG,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
tt0088763,Back to the Future,30,1985,1:56:00,8.5,1346366,PG,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
tt0245429,Spirited Away,31,2001,2:04:00,8.6,882748,PG,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
tt0253474,The Pianist,32,2002,2:30:00,8.5,942398,R,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
tt6751668,Parasite,33,2019,2:12:00,8.5,1012615,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
tt0172495,Gladiator,34,2000,2:35:00,8.5,1694544,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
tt0054215,Psycho,35,1960,1:49:00,8.5,738360,R,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
tt0110357,The Lion King,36,1994,1:28:00,8.5,1175506,G,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
tt0407887,The Departed,37,2006,2:31:00,8.5,1456976,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
