movie_id,domestic_distributor,genres,director,cast
tt0068646,Paramount Pictures,"Crime, Drama",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton"
tt0111161,Columbia Pictures,Drama,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
tt0108052,Universal Pictures,"Biography, Drama, History",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
tt0109830,Paramount Pictures,"Drama, Romance",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
tt0110912,Miramax,"Crime, Drama",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
tt0137523,Twentieth Century Fox,Drama,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
tt0120737,New Line Cinema,"Adventure, Drama, Fantasy",Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
tt0080684,Twentieth Century Fox,"Action, Adventure, Fantasy, Sci-Fi",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
tt0167260,New Line Cinema,"Adventure, Drama, Fantasy",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
tt0167261,New Line Cinema,"Adventure, Drama, Fantasy",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
tt0114369,New Line Cinema,"Crime, Drama, Mystery, Thriller",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
tt0102926,Orion Pictures,"Crime, Drama, Thriller",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine"
tt1375666,Warner Bros.,"Action, Adventure, Sci-Fi, Thriller",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
tt0468569,Warner Bros.,"Action, Crime, Drama, Thriller",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
